Univ	1779	1780	1781	1782	1783	1784	1785	1786	1787	1788	1789	1790	1791	1792	1793	1794	1795	1796	1797	1798	1799
Salamanca	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Salerno	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Salzburg	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Santiago de Compostela	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Sassari	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Saumur	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Sedan	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Siena	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Sigüenza	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Solsona	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Strasburg	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	F	F	F	F	F	F	F
Stuttgart	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	F	F	F	F	F	F
Toledo	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Tortosa	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Toulouse	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Tournon	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Treviso	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Trier	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F
Urbino	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Utrecht	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Valence	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Valladolid	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Venezia	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Vercelli	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Verona	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Vienna	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Vilnius	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Zamosc	C	C	C	C	C	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Zaragoza	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Aberdeen	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb
Ancona	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Basel	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
Burgo de Osma	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Cagliari	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Cambridge	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
Coïmbra	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Copenhaguen	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Dorpat	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Duisburg	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Erfurt	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Ferrara	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Frankfurt-on-Oder	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Freiburg-im-Breisgau	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Giessen	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Glasgow	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb
Greifswald	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Harderwijk	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Heidelberg	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Huesca 	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Leipzig	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Lisboa	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Lwow	F	F	F	F	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Mantova	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Marburg	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Messina	F	F	F	F	F	F	F	F	F	F	C	C	C	C	C	C	C	C	C	C	C
Napoli	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Nîmes	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Orange	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Orléans	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Orthez	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Oxford	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
Palermo	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Parma	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Pavia	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Pisa	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Praha	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Rinteln	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Rome Sapienza	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Rostock	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Saint-Andrews	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb	Pb
Sevilla	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Torino	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F	F
Tübingen	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Uppsala	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Valencia	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Wittemberg	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Würzburg	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
